InputID,TargetID,Distance
"72","21542",71.979083816043
"72","87159",68.3215985747074
"76","21695",16.5996217310584
"76","21696",17.048341667829
"76","21699",5.42853580533883
"76","21702",11.2085204585236
"76","87192",15.0508811012609
"77","21624",56.1732557626294
"77","21631",52.4985935578772
"77","87176",41.6005685692894
"77","87177",43.0317081058083
"77","87179",34.8456272123575
"79","21125",45.8671532985514
"79","21129",35.2773086746489
"79","21154",31.3276876779397
"79","21156",46.8147252786745
"79","87041",47.3219247951168
"80","14113",52.7199170515332
"80","20788",45.9913789854013
"80","20795",12.1037217436215
"80","20799",23.8424810168019
"80","20800",22.7753374911661
"81","21343",20.0622695980729
"81","21345",11.9959384062919
"81","21347",23.3450768645463
"81","21348",33.4978086414301
"81","21352",16.2790978635193
"82","20867",60.7971752419501
"82","20873",5.55794204139343
"82","20875",57.1326883034785
"82","20878",45.0576205960929
"82","86992",12.9749726190524
"83","14104",14.3431999865723
"83","14105",51.0031747253849
"83","14106",9.17052046189608
"83","14107",16.4896519631129
"83","14108",37.1036222247736
"84","20833",22.8073966102915
"84","20834",63.8259535151173
"84","20835",12.9881112298463
"84","20838",2.20119722933784
"84","20839",16.3411622708224
"85","20827",64.0924577167804
"85","20841",43.6651549508466
"85","20844",28.0448186584102
"85","20976",90.3378159189072
"85","86986",7.04254413062788
"86","13918",32.2197153820086
"86","13919",19.7808817932798
"86","13920",35.6507611306718
"86","13922",12.2036597106102
"86","13923",6.35311604100134
"87","13949",1.46711521437346
"87","13950",37.2727377012771
"87","13968",82.9769691031567
"87","84342",21.1589369598611
"87","84352",69.6034183956168
"32","21395",60.2319229448591
"32","21396",22.8242265995287
"32","21397",58.5500958300907
"32","21399",10.2411634234768
"32","22500",31.110797829407
"33","21396",62.2473290793095
"33","21397",24.8932036882672
"33","21398",16.4723402056285
"33","21406",21.6205720140156
"33","22500",74.5978772568172
"64","23712",30.0380986109825
"64","23714",19.9882177421725
"64","23715",19.6500902603572
"64","23716",33.5528882670265
"64","88105",2.48950270934808
"65","23698",30.7823515362783
"65","23699",4.69012077263279
"65","23701",13.1420832179083
"65","23704",35.5742803307934
"65","23707",18.2403052820607
"66","23749",23.1071770981173
"66","23750",3.00534852474566
"66","23758",53.4992787331101
"66","23765",44.6407649385899
"66","88166",10.8777656332504
"67","22689",22.0183032973422
"67","23757",15.491102148932
"67","23759",16.5157271255205
"67","23760",31.0287163466444
"67","23762",21.7195940304527
"68","5781",17.7798806314165
"68","5859",150.872027721053
"68","23790",147.067001601177
"68","23791",128.057985341794
"68","88123",139.791625768665
"69","23823",4.86097180982484
"69","23824",64.5331375294414
"69","23825",5.33368980980182
"69","23826",68.4120378020315
"69","88133",53.1620706633379
"3","21450",56.150280302895
"3","21452",21.6997076746101
"3","87113",20.7879309787872
"3","87118",16.4186698914216
"3","87119",38.8052183390118
